Date,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26,Player27,Player28,Player29,Player30,Player31,Player32,Player33,Player34,Player35,Player36,Player37,Player38,Player39,Player40,Player41,Player42,Player43,Player44,Player45,Player46,Player47,Player48,Player49,Player50,Player51,Player52,Player53,Player54,Player55,Player56,Player57,Player58,Player59,Player60,Player61,Player62,Player63,Player64,Player65,Player66,Player67,Player68,Player69,Player70,Player71,Player72,Player73,Player74,Player75,Player76,Player77,Player78,Player79,Player80,Player81,Player82,Player83,Player84,Player85,Player86,Player87,Player88,Player89,Player90,Player91,Player92,Player93,Player94,Player95,Player96,Player97,Player98,Player99,Player100,Tournament
2023-09-23 16:00,Tween,SkandeaR,Switch,L1ngo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 16:00,Feed,Mury,Kappa,Joooooooooey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 16:00,Az0x,Hugo220,Piranha,vekisoos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 16:00,Ener,Massa,Ikewolf,Vixxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Letzter,Switch,Nico,IXAWAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Rasg,seraf,Vanity,Joooooooooey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Kvikk,vekisoos,ParZival,ScarPurp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Ender,Stufts,Ikewolf,BENOXy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Whizzy,L1ngo,Nevermind,Fegir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Deska,Kappa,Nalax,Laser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Piranha,Affi,Fliks,Sympthone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 17:00,Vixxa,Mime,Hisoris,Sheinimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 18:00,Hugo220,Feed,Tween,Massa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 18:00,Az0x,Mury,Ener,SkandeaR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
2023-09-23 18:00,Barbos,Otaaaq,Elconn,Evon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xpevo 2023
